step,loss,tps,mfu
387,7.34632,173,8.61
388,7.34562,191,9.55
389,7.34301,184,9.17
390,7.33268,146,7.31
391,7.33401,148,7.39
392,7.32501,177,8.82
393,7.32317,167,8.34
394,7.31186,182,9.09
395,7.31177,182,9.06
396,7.30337,177,8.83
397,7.30133,185,9.25
398,7.29948,166,8.26
399,7.28744,180,9.01
400,7.28720,178,8.88
401,7.28600,4,0.22
402,7.27519,173,8.65
403,7.27183,196,9.78
404,7.27108,176,8.77
405,7.26161,132,6.61
406,7.26221,167,8.34
407,7.25586,155,7.74
408,7.25380,173,8.61
409,7.24624,173,8.63
410,7.24336,170,8.50
411,7.24255,168,8.39
412,7.23619,152,7.58
413,7.23226,174,8.68
414,7.22691,204,10.19
415,7.22585,174,8.70
416,7.21666,175,8.75
417,7.21962,180,8.96
418,7.21716,181,9.04
419,7.21486,76,3.78
420,7.20139,42,2.11
421,7.20550,177,8.82
422,7.19913,182,9.08
423,7.19433,172,8.57
424,7.18935,177,8.84
425,7.18754,176,8.77
426,7.17845,162,8.08
427,7.17499,175,8.74
428,7.17640,204,10.17
429,7.16741,191,9.55
430,7.17050,161,8.03
431,7.16267,137,6.82
432,7.16469,157,7.84
433,7.14795,207,10.32
434,7.15789,41,2.04
435,7.14568,40,2.00
436,7.14592,42,2.09
437,7.14196,182,9.09
438,7.14103,40,2.00
439,7.13039,40,1.99
440,7.13007,177,8.82
441,7.12342,188,9.41
442,7.12297,41,2.04
443,7.11685,41,2.07
444,7.11015,42,2.12
445,7.10598,41,2.06
446,7.10160,40,1.99
447,7.10433,41,2.05
448,7.09222,40,1.99
449,7.09897,23,1.15
450,7.09422,39,1.93
451,7.08186,20,0.99
452,7.08840,29,1.45
453,7.08130,30,1.49
454,7.07008,23,1.15
455,7.07114,40,1.99
456,7.07114,41,2.04
457,7.05667,40,1.98
458,7.08500,41,2.07
