step,loss,tps,mfu
642,7.20686,261,13.02
643,7.19350,246,12.29
644,7.21671,281,14.03
645,7.21090,281,14.01
646,7.18909,290,14.49
647,7.19987,288,14.36
648,7.20886,261,13.01
649,7.17341,120,5.98
650,7.18383,285,14.22
651,7.18989,277,13.80
652,7.18201,277,13.81
653,7.16602,285,14.22
654,7.16706,264,13.20
655,7.16864,252,12.57
656,7.15800,244,12.16
657,7.21053,287,14.30
658,7.15863,263,13.11
659,7.18689,283,14.14
660,7.19393,286,14.26
661,7.14926,292,14.56
662,7.14131,292,14.58
663,7.20411,293,14.60
664,7.13218,292,14.56
665,7.15832,293,14.64
666,7.18896,292,14.58
667,7.14006,293,14.61
668,7.12767,293,14.64
669,7.15576,288,14.37
670,7.23651,292,14.58
671,7.14146,293,14.60
672,7.13149,286,14.25
673,7.16961,292,14.59
674,7.16236,293,14.62
675,7.21598,291,14.52
676,7.19681,291,14.53
677,7.15696,292,14.58
678,7.15474,292,14.59
679,7.15607,291,14.50
680,7.13509,292,14.57
681,7.12474,293,14.60
682,7.14004,287,14.33
683,7.12921,290,14.48
684,7.11328,292,14.57
685,7.12042,291,14.54
686,7.13136,292,14.59
687,7.10053,279,13.91
688,7.09672,288,14.37
689,7.10162,292,14.57
690,7.09582,293,14.63
691,7.08427,292,14.59
692,7.08385,285,14.20
693,7.08942,292,14.55
694,7.08263,289,14.44
695,7.08309,292,14.55
696,7.07368,292,14.57
697,7.07185,286,14.26
698,7.06468,283,14.14
699,7.05799,282,14.08
700,7.05630,293,14.61
701,7.05489,17,0.86
702,7.05173,292,14.57
703,7.05463,284,14.18
704,7.04920,292,14.56
705,7.04545,292,14.56
706,7.04036,292,14.56
707,7.06024,290,14.45
708,7.04219,292,14.58
709,7.05211,291,14.53
710,7.03476,291,14.52
711,7.07994,293,14.60
712,7.07770,292,14.59
713,7.03113,287,14.31
714,7.03217,292,14.58
715,7.02724,292,14.55
716,7.03418,292,14.55
717,7.05623,291,14.52
718,7.02208,288,14.40
719,7.03173,289,14.44
720,7.06264,291,14.54
721,7.02148,292,14.59
722,7.01772,289,14.43
723,7.03654,287,14.34
724,7.01263,289,14.44
725,7.01603,291,14.52
726,7.01052,292,14.58
727,7.01018,291,14.53
728,6.99617,292,14.57
729,7.00495,291,14.51
730,7.01624,288,14.35
731,7.00316,293,14.60
732,6.98456,292,14.56
733,6.99409,183,9.13
734,7.03300,281,14.03
735,7.00556,282,14.05
736,7.01006,278,13.87
737,6.99177,283,14.14
738,6.99790,288,14.37
739,6.98470,271,13.51
740,6.98936,194,9.67
741,6.97174,254,12.66
742,6.97324,283,14.13
743,6.96333,287,14.30
744,6.96119,282,14.06
745,6.96149,270,13.50
746,6.95688,287,14.33
747,6.96929,286,14.29
748,6.95595,279,13.92
749,6.95191,287,14.30
750,6.95810,287,14.33
751,6.95164,262,13.05
752,6.96483,287,14.33
753,6.94075,285,14.22
754,6.94323,289,14.42
755,6.94479,289,14.44
756,6.95388,284,14.18
757,6.92802,288,14.37
758,6.93219,285,14.21
759,6.93118,290,14.49
760,6.92158,289,14.42
761,6.92332,271,13.51
762,6.92667,287,14.31
763,6.91530,285,14.24
764,6.90664,289,14.42
765,6.90285,287,14.31
766,6.90240,286,14.28
767,6.89899,287,14.31
768,6.89669,287,14.31
769,6.89661,288,14.39
770,6.88756,291,14.51
771,6.87842,285,14.24
772,6.87698,284,14.17
773,6.87506,292,14.58
774,6.87469,287,14.33
775,6.86907,290,14.46
776,6.87844,292,14.59
777,6.86005,291,14.53
778,6.86249,292,14.59
779,6.85823,291,14.54
780,6.85772,60,2.99
781,6.86560,48,2.40
782,6.84656,186,9.27
783,6.84726,144,7.18
784,6.85519,289,14.44
785,6.84365,286,14.29
786,6.84557,283,14.11
787,6.84230,290,14.45
788,6.83138,287,14.33
789,6.83086,289,14.45
790,6.83286,292,14.55
791,6.84040,291,14.52
792,6.81840,291,14.53
793,6.81153,291,14.54
794,6.81477,289,14.41
795,6.79802,290,14.49
796,6.80468,289,14.43
797,6.80422,290,14.48
798,6.79831,290,14.46
799,6.80049,291,14.50
800,6.79456,286,14.27
801,6.79999,17,0.85
802,6.77796,285,14.24
803,6.77695,290,14.46
804,6.77923,290,14.47
805,6.76896,175,8.72
806,6.76841,288,14.38
807,6.77132,291,14.54
808,6.76900,286,14.30
809,6.76956,291,14.50
810,6.74834,292,14.57
811,6.75443,291,14.51
812,6.74605,292,14.58
813,6.75374,289,14.42
814,6.73967,286,14.28
815,6.74673,292,14.55
816,6.74579,291,14.51
817,6.74468,290,14.46
818,6.72796,286,14.26
819,6.72474,291,14.52
820,6.72752,291,14.54
821,6.72431,286,14.30
822,6.72046,284,14.19
823,6.71280,291,14.50
824,6.71650,291,14.53
825,6.70349,282,14.05
826,6.70776,289,14.42
827,6.70132,292,14.56
828,6.68584,289,14.42
829,6.69539,290,14.45
830,6.68425,290,14.49
831,6.68301,287,14.33
832,6.68943,291,14.53
833,6.68534,292,14.56
834,6.68188,291,14.53
835,6.67604,291,14.53
836,6.67625,292,14.55
837,6.66100,292,14.55
838,6.67044,284,14.18
839,6.67030,187,9.34
840,6.66554,165,8.22
841,6.66427,278,13.86
842,6.71252,255,12.73
843,6.66198,276,13.76
844,6.65800,277,13.84
845,6.66786,287,14.33
846,6.65422,270,13.49
847,6.64786,275,13.72
848,6.64258,269,13.45
849,6.64249,283,14.13
850,6.64601,284,14.19
851,6.62582,283,14.11
852,6.62055,287,14.30
853,6.62475,278,13.85
854,6.61463,290,14.46
855,6.61536,289,14.42
856,6.61694,281,14.03
857,6.61660,291,14.54
858,6.61090,291,14.51
859,6.59995,203,10.15
860,6.61349,291,14.52
861,6.59361,291,14.53
862,6.59556,286,14.29
863,6.60099,290,14.45
864,6.57830,291,14.54
865,6.58311,289,14.43
866,6.58699,284,14.15
867,6.57482,290,14.46
868,6.57690,290,14.47
869,6.56795,284,14.16
870,6.56901,285,14.23
871,6.56402,291,14.53
872,6.55651,288,14.36
873,6.56016,287,14.31
874,6.54925,282,14.05
875,6.54564,290,14.45
876,6.54718,285,14.22
877,6.54055,288,14.38
878,6.53986,290,14.46
879,6.53861,291,14.54
880,6.53117,291,14.51
881,6.52272,291,14.51
882,6.52784,289,14.40
883,6.51855,287,14.30
884,6.51025,284,14.18
885,6.51795,290,14.46
886,6.49691,287,14.31
887,6.51514,289,14.40
888,6.50599,290,14.45
889,6.49112,288,14.38
890,6.49614,291,14.53
891,6.49570,291,14.50
892,6.48927,281,14.05
893,6.48664,290,14.47
